Date,Open,High,Low,Close,Adj Close,Volume
1996-11-04,10.0,10.0,10.0,10.0,6.680636,0
1996-11-05,10.0,10.0,10.0,10.0,6.680636,0
1996-11-06,10.0,10.0,10.0,10.0,6.680636,0
1996-11-07,9.97,9.97,9.97,9.97,6.660596,0
1996-11-08,9.98,9.98,9.98,9.98,6.667274,0
1996-11-11,9.98,9.98,9.98,9.98,6.667274,0
1996-11-12,10.01,10.01,10.01,10.01,6.687318,0
1996-11-13,10.05,10.05,10.05,10.05,6.71404,0
1996-11-14,10.07,10.07,10.07,10.07,6.7274,0
1996-11-15,10.06,10.06,10.06,10.06,6.720718,0
1996-11-18,10.04,10.04,10.04,10.04,6.707359,0
1996-11-19,10.05,10.05,10.05,10.05,6.71404,0
1996-11-20,10.1,10.1,10.1,10.1,6.747442,0
1996-11-21,10.12,10.12,10.12,10.12,6.760804,0
1996-11-22,10.12,10.12,10.12,10.12,6.760804,0
1996-11-25,10.08,10.08,10.08,10.08,6.734082,0
1996-11-26,10.05,10.05,10.05,10.05,6.71404,0
1996-11-27,10.03,10.03,10.03,10.03,6.700677,0
1996-11-29,9.97,9.97,9.97,9.97,6.660596,0
1996-12-02,9.99,9.99,9.99,9.99,6.673956,0
1996-12-03,9.95,9.95,9.95,9.95,6.647233,0
1996-12-04,9.93,9.93,9.93,9.93,6.633871,0
1996-12-05,9.96,9.96,9.96,9.96,6.653913,0
1996-12-06,9.88,9.88,9.88,9.88,6.600469,0
1996-12-09,9.86,9.86,9.86,9.86,6.587108,0
1996-12-10,9.96,9.96,9.96,9.96,6.653913,0
1996-12-11,9.96,9.96,9.96,9.96,6.653913,0
1996-12-12,9.96,9.96,9.96,9.96,6.653913,0
1996-12-13,9.88,9.88,9.88,9.88,6.605775,0
1996-12-16,9.88,9.88,9.88,9.88,6.605775,0
1996-12-17,9.92,9.92,9.92,9.92,6.632519,0
1996-12-18,9.87,9.87,9.87,9.87,6.599089,0
1996-12-19,9.8,9.8,9.8,9.8,6.552287,0
1996-12-20,9.82,9.82,9.82,9.82,6.565658,0
1996-12-23,9.86,9.86,9.86,9.86,6.592402,0
1996-12-24,9.83,9.83,9.83,9.83,6.572344,0
1996-12-26,9.8,9.8,9.8,9.8,6.552287,0
1996-12-27,9.85,9.85,9.85,9.85,6.585717,0
1996-12-30,9.86,9.86,9.86,9.86,6.592402,0
1996-12-31,9.91,9.91,9.91,9.91,6.625833,0
1997-01-02,9.88,9.88,9.88,9.88,6.605775,0
1997-01-03,9.87,9.87,9.87,9.87,6.599089,0
1997-01-06,9.91,9.91,9.91,9.91,6.625833,0
1997-01-07,9.95,9.95,9.95,9.95,6.652577,0
1997-01-08,9.94,9.94,9.94,9.94,6.64589,0
1997-01-09,9.93,9.93,9.93,9.93,6.639205,0
1997-01-10,9.87,9.87,9.87,9.87,6.599089,0
1997-01-13,9.87,9.87,9.87,9.87,6.599089,0
1997-01-14,9.82,9.82,9.82,9.82,6.565658,0
1997-01-15,9.84,9.84,9.84,9.84,6.579031,0
1997-01-16,9.86,9.86,9.86,9.86,6.592402,0
1997-01-17,9.8,9.8,9.8,9.8,6.552287,0
1997-01-20,9.74,9.74,9.74,9.74,6.512171,0
1997-01-21,9.7,9.7,9.7,9.7,6.485425,0
1997-01-22,9.67,9.67,9.67,9.67,6.465368,0
1997-01-23,9.64,9.64,9.64,9.64,6.445312,0
1997-01-24,9.67,9.67,9.67,9.67,6.465368,0
1997-01-27,9.6,9.6,9.6,9.6,6.418567,0
1997-01-28,9.49,9.49,9.49,9.49,6.34502,0
1997-01-29,9.49,9.49,9.49,9.49,6.34502,0
1997-01-30,9.49,9.49,9.49,9.49,6.34502,0
1997-01-31,9.52,9.52,9.52,9.52,6.365078,0
1997-02-03,9.51,9.51,9.51,9.51,6.358393,0
1997-02-04,9.57,9.57,9.57,9.57,6.398509,0
1997-02-05,9.6,9.6,9.6,9.6,6.418567,0
1997-02-06,9.57,9.57,9.57,9.57,6.398509,0
1997-02-07,9.54,9.54,9.54,9.54,6.37845,0
1997-02-10,9.66,9.66,9.66,9.66,6.458682,0
1997-02-11,9.64,9.64,9.64,9.64,6.445312,0
